out/nvme:EulerFS:filebench_oltp:directio.dat:# nvme:EulerFS:filebench_oltp:directio:*:30.000000
out/nvme:EulerFS:filebench_oltp:directio.dat:1 0.5764753880000001
out/nvme:EulerFS:filebench_oltp:directio.dat:2 0.590542843
out/nvme:EulerFS:filebench_oltp:directio.dat:4 0.648544686
out/nvme:EulerFS:filebench_oltp:directio.dat:8 0.5823975459999999
out/nvme:EulerFS:filebench_oltp:directio.dat:12 0.576828672
out/nvme:EulerFS:filebench_oltp:directio.dat:16 0.559626926
out/nvme:EulerFS:filebench_oltp:directio.dat:20 0.551873324
out/nvme:EulerFS:filebench_oltp:directio.dat:24 0.5316414690000001
out/nvme:EulerFS:filebench_oltp:directio.dat:28 0.525066264
out/nvme:EulerFS-S:filebench_oltp:directio.dat:# nvme:EulerFS-S:filebench_oltp:directio:*:30.000000
out/nvme:EulerFS-S:filebench_oltp:directio.dat:1 1.4112403789999999
out/nvme:EulerFS-S:filebench_oltp:directio.dat:2 1.4020131939999998
out/nvme:EulerFS-S:filebench_oltp:directio.dat:4 1.905935686
out/nvme:EulerFS-S:filebench_oltp:directio.dat:8 1.71024276
out/nvme:EulerFS-S:filebench_oltp:directio.dat:12 1.500705606
out/nvme:EulerFS-S:filebench_oltp:directio.dat:16 1.3603380390000002
out/nvme:EulerFS-S:filebench_oltp:directio.dat:20 1.0963438799999998
out/nvme:EulerFS-S:filebench_oltp:directio.dat:24 1.051414077
out/nvme:EulerFS-S:filebench_oltp:directio.dat:28 0.9624099620000001
out/nvme:EXT4-dax:filebench_oltp:directio.dat:# nvme:EXT4-dax:filebench_oltp:directio:*:30.000000
out/nvme:EXT4-dax:filebench_oltp:directio.dat:1 0.444162713
out/nvme:EXT4-dax:filebench_oltp:directio.dat:2 0.450763359
out/nvme:EXT4-dax:filebench_oltp:directio.dat:4 0.914843463
out/nvme:EXT4-dax:filebench_oltp:directio.dat:8 1.047070057
out/nvme:EXT4-dax:filebench_oltp:directio.dat:12 1.0839499890000002
out/nvme:EXT4-dax:filebench_oltp:directio.dat:16 1.00624353
out/nvme:EXT4-dax:filebench_oltp:directio.dat:20 0.936014761
out/nvme:EXT4-dax:filebench_oltp:directio.dat:24 1.056449063
out/nvme:EXT4-dax:filebench_oltp:directio.dat:28 1.027067205
out/nvme:NOVA:filebench_oltp:directio.dat:# nvme:NOVA:filebench_oltp:directio:*:30.000000
out/nvme:NOVA:filebench_oltp:directio.dat:1 0.251546933
out/nvme:NOVA:filebench_oltp:directio.dat:2 0.216526095
out/nvme:NOVA:filebench_oltp:directio.dat:4 0.214724825
out/nvme:NOVA:filebench_oltp:directio.dat:8 0.225769493
out/nvme:NOVA:filebench_oltp:directio.dat:12 0.227276965
out/nvme:NOVA:filebench_oltp:directio.dat:16 0.222842496
out/nvme:NOVA:filebench_oltp:directio.dat:20 0.23293813200000002
out/nvme:NOVA:filebench_oltp:directio.dat:24 0.229841047
out/nvme:NOVA:filebench_oltp:directio.dat:28 0.216996831
out/nvme:pmfs:filebench_oltp:directio.dat:# nvme:pmfs:filebench_oltp:directio:*:30.000000
out/nvme:pmfs:filebench_oltp:directio.dat:1 0.582299258
out/nvme:pmfs:filebench_oltp:directio.dat:2 0.594582697
out/nvme:pmfs:filebench_oltp:directio.dat:4 0.658162474
out/nvme:pmfs:filebench_oltp:directio.dat:8 0.7540424520000001
out/nvme:pmfs:filebench_oltp:directio.dat:12 0.589686815
out/nvme:pmfs:filebench_oltp:directio.dat:16 0.741252497
out/nvme:pmfs:filebench_oltp:directio.dat:20 0.7592864250000001
out/nvme:pmfs:filebench_oltp:directio.dat:24 0.689913188
out/nvme:pmfs:filebench_oltp:directio.dat:28 0.73942276
